txn_id,timestamp,timestamp_status,user_id,merchant_id,amount,amount_status,utr,utr_status,mcc,mcc_status,status,full_name,pan,pan_status,aadhaar,aadhaar_status,date_of_birth,age_status,city,state,monthly_income,income_status,occupation,signup_timestamp,signup_date,account_age_days,signup_status,risk_segment,kyc_status,merchant_name,mcc_mer,merchant_category,business_type,city_mer,state_mer,onboarding_date,settlement_account,merchant_status,declared_avg_ticket_size,merchant_id_category,onboarding_date_status,settlement_account_status,merchant_status_status,ticket_size_status,txn_id_clean,dispute_count,total_disputed_amount,latest_reported,top_reason_code,max_severity,is_kyc_linked,is_merchant_linked,is_disputed,mcc_derived,age,flag_amount_anomaly,flag_utr_invalid,flag_missing_utr_and_failed,flag_mcc_invalid,flag_kyc_doc_invalid,flag_kyc_doc_missing,flag_underage,flag_income_anomaly,flag_rejected_kyc_active,flag_under_review_kyc_active,flag_brand_new_account,flag_merchant_suspended,flag_merchant_status_unknown,flag_ticket_size_imputed,flag_amount_vs_ticket_mismatch,flag_high_severity_dispute,flag_unauthorized_reason,flag_disputed_amount_mismatch,flag_unlinked_kyc,flag_unlinked_merchant,txn_hour,txn_day_of_week,is_weekend,is_night_txn,flag_round_amount,signup_date_parsed,days_since_signup_at_txn,user_txn_count,user_total_volume,user_dispute_count,user_failed_count,user_distinct_merchants,user_max_single_txn,user_failed_rate,user_avg_amount,user_std_amount,user_amount_zscore,flag_amount_zscore_outlier,user_income_to_spend_ratio,flag_income_spend_mismatch,flag_new_account_high_volume,flag_invalid_kyc_high_volume,merchant_txn_count,merchant_total_volume,merchant_dispute_count,merchant_disputed_txn_count,merchant_chargeback_ratio,merchant_ratio_insufficient_sample,flag_merchant_above_category_median,category_txn_count,category_total_volume,category_dispute_count,category_chargeback_ratio,user_cycle_score,merchant_cycle_score,flag_count,fraud_risk_score,risk_tier
TXN00011869,2026-01-15 00:11:30,VALID,USR45826,MCH7045,15722.34,VALID,UTR6498104698,VALID,5411.0,VALID,SUCCESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TXN00011869,1.0,8004.21,2026-02-03 00:00:00,WRONG_AMOUNT,CRITICAL,False,False,True,0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,0,3,False,True,False,,,1,15722.34,1.0,0,1,15722.34,0.0,15722.34,,,False,,False,False,False,4,54489.72,2.0,2,0.5,False,False,,,,,0.0,0.0,3,0.23333333333333334,MEDIUM
TXN00010383,2026-01-17 20:09:44,VALID,USR79397,MCH5031,6362.9,VALID,UTR7656190355,VALID,4131.0,VALID,FAILED,Yochana Verma,UJFDJ7836T,VALID,985954110965,VALID,1990-12-26,VALID,Amritsar,Punjab,7971.0,STANDARD_INCOME,Self Employed,06/04/2024,2024-06-04,831.0,DATE_ONLY,Low,REJECTED,,,,,,,,,,,,,,,,TXN00010383,1.0,4163.19,2026-02-22 12:37:00,SERVICE_NOT_PROVIDED,LOW,True,False,True,0,35.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,20,5,True,False,False,2024-06-04,592.0,1,6362.9,1.0,1,1,6362.9,1.0,6362.9,,,False,0.06652134822063313,False,False,False,4,38002.16,1.0,1,0.25,False,False,,,,,0.0,0.0,2,0.13055555555555554,LOW
TXN00008297,2026-01-23 14:10:16,VALID,USR87810,MCH9809,15446.19,VALID,UTR9037001889,DUPLICATE,5411.0,VALID,SUCCESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,14,4,False,False,False,,,1,15446.19,0.0,0,1,15446.19,0.0,15446.19,,,False,,False,False,False,2,20984.21,0.0,0,,True,False,,,,,0.0,0.0,0,0.0,LOW
TXN00006448,2026-02-02 20:17:51,VALID,USR54287,MCH6928,12110.49,VALID,UTR5257823698,VALID,5411.0,VALID,SUCCESS,,,,,,,,,,,,,,,,,,,"Mutti, Palla And Zacharia",4814.0,Telecom,Partnership,Kolkata,West Bengal,2023-11-12,1804027882,Active,2042.85,Found Duplicate,present,VALID_NUMERIC,PROVIDED,PROVIDED,,,,,,,False,True,False,0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,20,0,False,False,False,,,2,24247.309999999998,0.0,0,2,12136.82,0.0,12123.654999999999,18.61812154864239,-0.7071067811864742,False,,False,False,False,2,25043.27,0.0,0,,True,False,1079.0,13002303.95,143.0,0.13253012048192772,0.0,0.0,1,0.027777777777777776,LOW
TXN00018792,2026-03-31 14:02:37,VALID,USR53865,MCH8121,19432.94,VALID,UTR4204272894,VALID,4131.0,VALID,SUCCESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,14,1,False,False,False,,,1,19432.94,0.0,0,1,19432.94,0.0,19432.94,,,False,,False,False,False,4,72426.12,0.0,0,0.0,False,False,,,,,0.0,0.0,0,0.0,LOW
TXN00000400,2026-02-11 01:40:43,VALID,USR90546,MCH6773,18866.03,VALID,UTR2080442730,VALID,5812.0,VALID,SUCCESS,Bimala Mohan,WWYGS0122H,VALID,214988463738,VALID,1998-04-01,VALID,Pune,Maharashtra,,MISSING,Unemployed,1766167082,,,MISSING_DATE,Low,REJECTED,"Parmar, Sahota And Rajagopalan",5999.0,Other / Misc,Sole Proprietorship,Pune,Maharashtra,2024-02-23,GSZT9943608461358,Active,3042.0,Unique,present,ALPHANUMERIC_IBAN,PROVIDED,PROVIDED,,,,,,,True,True,False,0,28.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,1,2,False,True,False,,,2,20006.32,0.0,0,2,18866.03,0.0,10003.16,12533.99095554963,0.7071067811865476,False,,False,False,False,4,68131.54,1.0,1,0.25,False,True,1230.0,14529247.47,168.0,0.13658536585365855,0.0,0.0,4,0.18611111111111112,MEDIUM
TXN00015249,2026-03-10 21:27:31,VALID,USR18691,MCH7856,19982.69,VALID,UTR5471158093,VALID,7011.0,MISSING,SUCCESS,Abdul Dalal,IMWVS6926V,VALID,505636796537,VALID,1968-07-22,VALID,Mumbai,Maharashtra,92548.0,STANDARD_INCOME,Business Owner,08-05-2024,2024-08-05,769.0,DATE_ONLY,Low,APPROVED,"Sood, Dalal And Butala",7011.0,Hospitality & Hotels,Private Limited,Delhi,Delhi,2025-06-11,1705220103,Active,0.2048,Unique,present,VALID_NUMERIC,PROVIDED,PROVIDED,,,,,,,True,True,False,1,58.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,21,1,False,False,False,2024-08-05,582.0,1,19982.69,0.0,0,1,19982.69,0.0,19982.69,,,False,0.017993086470444165,False,False,False,5,70365.86,0.0,0,0.0,False,False,950.0,11123760.77,125.0,0.13157894736842105,0.0,0.0,1,0.027777777777777776,LOW
TXN00007121,2026-02-25 00:53:02,VALID,USR16629,MCH7753,22687.5,VALID,UTR3330570580,VALID,5411.0,VALID,SUCCESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,0,2,False,True,False,,,2,31429.629999999997,0.0,0,2,22687.5,0.0,15714.814999999999,9860.865693155443,0.7071067811865477,False,,False,False,False,3,39332.56,0.0,0,0.0,False,False,,,,,0.0,0.0,1,0.027777777777777776,LOW
TXN00008460,2026-02-07 09:53:11,VALID,USR20899,MCH9111,8256.07,VALID,UTR6505850115,VALID,,MISSING,SUCCESS,Udarsh Dugal,KGKIH5580,INVALID,757507064570,VALID,1994-09-05,VALID,Pune,Maharashtra,-10440.0,NEGATIVE,Retired,2025-08-21 16:20:51,2025-08-21,388.0,VALID,Low,APPROVED,"Dhar, Thaker And Madan",5999.0,Other / Misc,Private Limited,Kolkata,West Bengal,2024-08-11,IKTX4120845617487,Active,1785.1,Unique,present,ALPHANUMERIC_IBAN,PROVIDED,PROVIDED,,,,,,,True,True,False,0,32.0,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,9,5,True,False,False,2025-08-21,170.0,1,8256.07,0.0,0,1,8256.07,0.0,8256.07,,,False,,False,False,False,3,28443.67,0.0,0,0.0,False,False,1230.0,14529247.47,168.0,0.13658536585365855,0.0,0.0,2,0.05555555555555555,LOW
TXN00002541,2026-03-30 09:37:49,VALID,USR51755,MCH2949,16466.93,VALID,UTR2787678319,VALID,5411.0,VALID,FAILED,,,,,,,,,,,,,,,,,,,"Mahal, Natt And Ghosh",5999.0,Other / Misc,Partnership,Jaipur,Rajasthan,2024-07-19,6197525290,Active,2320.74,Unique,present,VALID_NUMERIC,PROVIDED,PROVIDED,,,,,,,False,True,False,0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,9,0,False,False,False,,,1,16466.93,0.0,1,1,16466.93,1.0,16466.93,,,False,,False,False,False,1,16466.93,0.0,0,,True,False,1230.0,14529247.47,168.0,0.13658536585365855,0.0,0.0,1,0.027777777777777776,LOW
