ring_id,ring_type,cycle_accounts,entity_count,composite_score,cluster_volume,description
RING-MERCH-0101,MERCHANT_SETTLEMENT_COLLUSION,MCH3037 -> MCH3037 -> MCH9049 -> MCH1118,4,1.0,109620.29,"Shared bank settlement account XXXX1304 across 4 merchants: Gokhale Plc, Gokhale Plc, Badami, Pathak And Murty"
RING-MERCH-0130,MERCHANT_SETTLEMENT_COLLUSION,MCH1098 -> MCH2016,2,0.9,31544.54,"Shared bank settlement account XXXX3614 across 2 merchants: Raval, Yadav And Yogi, Amble, Yadav And Dube"
RING-MERCH-0049,MERCHANT_SETTLEMENT_COLLUSION,MCH7932 -> MCH7932,2,0.9,84058.99,"Shared bank settlement account AUYT1495828220876 across 2 merchants: Sethi Ltd, Sethi Ltd"
RING-MERCH-0089,MERCHANT_SETTLEMENT_COLLUSION,MCH2696 -> MCH2696 -> MCH1664,3,0.85,70737.82,"Shared bank settlement account XXXX0248 across 3 merchants: Dave, Chaudhari And Bhatti, Dave, Chaudhari And Bhatti, Karan Ltd"
RING-MERCH-0157,MERCHANT_SETTLEMENT_COLLUSION,MCH4230 -> MCH3180 -> MCH3945,3,0.85,47669.61,"Shared bank settlement account XXXX6774 across 3 merchants: Jha Group, Sanghvi And S0Ns, Mukhopadhyay Raghavan"
RING-MERCH-0167,MERCHANT_SETTLEMENT_COLLUSION,MCH3454 -> MCH5736 -> MCH5736,3,0.85,64359.39,"Shared bank settlement account XXXX7731 across 3 merchants: Rajagopal Wason, Agate Llc, Agate Llc"
RING-MERCH-0132,MERCHANT_SETTLEMENT_COLLUSION,MCH4637 -> MCH1032 -> MCH1032,3,0.85,52904.51,"Shared bank settlement account XXXX4099 across 3 merchants: Mitter Pandya, Manda Hayer, Manda Hayer"
RING-MERCH-0177,MERCHANT_SETTLEMENT_COLLUSION,MCH8537 -> MCH8537 -> MCH7580,3,0.85,4146.34,"Shared bank settlement account XXXX8286 across 3 merchants: Mital And Sons, Mital And Sons, Dhaliwal Shankar"
RING-MERCH-0169,MERCHANT_SETTLEMENT_COLLUSION,MCH8053 -> MCH8053 -> MCH8614,3,0.85,96348.17,"Shared bank settlement account XXXX7777 across 3 merchants: Chhabra Inc, Chhabra Inc, Basu Gola"
RING-DISPUTE-1551,COORDINATED_DISPUTE_NETWORK,USR71235 -> USR22336 -> USR34262 -> MCH6678,4,0.75,48587.39,Dense dispute cluster of 4 interconnected accounts across chargebacks.
RING-DISPUTE-1544,COORDINATED_DISPUTE_NETWORK,USR19007 -> MCH5177 -> USR84407 -> USR16058,4,0.75,48676.14,Dense dispute cluster of 4 interconnected accounts across chargebacks.
RING-DISPUTE-1545,COORDINATED_DISPUTE_NETWORK,USR23730 -> USR14312 -> MCH6973 -> USR69178,4,0.75,31178.43,Dense dispute cluster of 4 interconnected accounts across chargebacks.
RING-DISPUTE-1546,COORDINATED_DISPUTE_NETWORK,USR45648 -> MCH1744 -> USR22920 -> USR30959,4,0.75,29529.19,Dense dispute cluster of 4 interconnected accounts across chargebacks.
RING-DISPUTE-1547,COORDINATED_DISPUTE_NETWORK,USR65839 -> MCH4067 -> USR36986 -> USR83092,4,0.75,19823.92,Dense dispute cluster of 4 interconnected accounts across chargebacks.
RING-DISPUTE-1548,COORDINATED_DISPUTE_NETWORK,USR59418 -> MCH3587 -> USR30469 -> USR66939,4,0.75,19639.72,Dense dispute cluster of 4 interconnected accounts across chargebacks.
RING-DISPUTE-1550,COORDINATED_DISPUTE_NETWORK,MCH1080 -> MCH7481 -> USR23949 -> USR56298,4,0.75,42318.34,Dense dispute cluster of 4 interconnected accounts across chargebacks.
