user_id,full_name,pan,pan_status,aadhaar,aadhaar_status,date_of_birth,age_status,city,state,monthly_income,income_status,occupation,signup_timestamp,signup_date,account_age_days,signup_status,risk_segment,kyc_status
USR16112,Dhriti Deshmukh,SEJAA8194O,VALID,715658320763,VALID,1967-06-04,VALID,Mumbai,Maharashtra,35119.0,STANDARD_INCOME,Retired,2025-12-02 02:18:16,2025-12-02,285.0,VALID,Low,APPROVED
USR17216,Megha Jani,QT0ZZ5561X,INVALID,023412025028,VALID,,MISSING_DOB,Lucknow,Uttar Pradesh,80907.0,STANDARD_INCOME,Freelancer,01-31-2024,2024-01-31,956.0,DATE_ONLY,Medium,APPROVED
USR45454,Panini Lal,QCNTL9489O,VALID,278162999816,VALID,,MISSING_DOB,Kolkata,West Bengal,11214.0,STANDARD_INCOME,Farmer,2026-01-30 23:57:18,2026-01-30,226.0,VALID,High,PENDING
USR46189,Jack Parikh,RRVUI4059Q,VALID,066780327731,VALID,,MISSING_DOB,Amritsar,Punjab,27300.0,STANDARD_INCOME,Student,09-04-2025,2025-09-04,374.0,DATE_ONLY,Low,APPROVED
USR85256,Eta Ravi,YGVOI9236W,VALID,176258817110,VALID,1969-02-19,VALID,Delhi,Delhi,24705.0,STANDARD_INCOME,Salaried,03-Feb-2026,2026-02-03,222.0,DATE_ONLY,Low,APPROVED
USR20918,Vanya Chad,JDGOH0074Y,VALID,894463789078,VALID,1961-04-20,VALID,Bengaluru,Karnataka,14124.0,STANDARD_INCOME,Self Employed,25/04/2024,2024-04-25,871.0,DATE_ONLY,Medium,REJECTED
USR22494,Nirja Shetty,JWZVO4240H,VALID,5277136337802,INVALID,1990-09-05,VALID,Chennai,Tamil Nadu,16160.0,STANDARD_INCOME,Retired,,,,MISSING_DATE,Medium,REJECTED
USR34742,Ati Dash,OOQCG9609N,VALID,985048780290,VALID,1962-12-20,VALID,Jaipur,Rajasthan,43738.0,STANDARD_INCOME,Unemployed,07-25-2025,2025-07-25,415.0,DATE_ONLY,High,APPROVED
USR83137,Ria Kale,,MISSING,4902616251043,INVALID,2005-09-09,VALID,Jaipur,Rajasthan,25151.0,STANDARD_INCOME,Freelancer,03/04/2024,2024-03-04,923.0,DATE_ONLY,Low,PENDING
USR99161,Jalsa Malhotra,QLSKS5105S,VALID,944300371193,VALID,1963-05-20,VALID,Jalandhar,Punjab,-8083.0,NEGATIVE,Retired,,,,MISSING_DATE,Low,REJECTED
USR16625,Anika Vora,CACWZ2722S,VALID,017979940718,VALID,,MISSING_DOB,Lucknow,Uttar Pradesh,28634.0,STANDARD_INCOME,Unemployed,08-Mar-2026,2026-03-08,189.0,DATE_ONLY,Medium,APPROVED
USR65060,Anirudh Bhatnagar,AIWTB3506U,VALID,2501336722102,INVALID,2003-06-16,VALID,Jaipur,Rajasthan,30875.0,STANDARD_INCOME,Student,2024-05-24 07:29:05,2024-05-24,842.0,VALID,Low,APPROVED
USR13678,Reva Jaggi,KWLPY9915,INVALID,577479489696,VALID,1982-05-27,VALID,Jaipur,Rajasthan,24200.0,STANDARD_INCOME,Gig Worker,16/02/2024,2024-02-16,940.0,DATE_ONLY,Low,PENDING
USR78719,Indirachaudhary,VGLXS2856D,VALID,624494538280,VALID,1977-04-17,VALID,Ludhiana,Punjab,20231.0,STANDARD_INCOME,Student,30-Jan-2024,2024-01-30,957.0,DATE_ONLY,Low,APPROVED
