merchant_id,merchant_name,mcc,merchant_category,business_type,city,state,onboarding_date,settlement_account,merchant_status,declared_avg_ticket_size,merchant_id_category,onboarding_date_status,settlement_account_status,merchant_status_status,ticket_size_status
MCH7236,Bhasin Llc,5699,Apparel,Partnership,Jalandhar,Punjab,2025-01-31,XXXX8980,Active,0.1228,Found Duplicate,present,MASKED,PROVIDED,PROVIDED
MCH2607,"Deep, Prasad And Dass",5699,Apparel,Private Limited,Hyderabad,Telangana,2023-05-29,4668596918,Inactive,1570.82,Found Duplicate,present,VALID_NUMERIC,PROVIDED,PROVIDED
MCH8023,Char Gala,5699,Apparel,Individual,Chennai,Tamil Nadu,2024-04-04,PWFC1818550515264,Active,837.35,Unique,present,ALPHANUMERIC_IBAN,PROVIDED,PROVIDED
MCH7258,"Om, Swaminathan And Ray",5699,Apparel,Private Limited,Jaipur,Rajasthan,2024-07-16,ARZZ7929473227025,Inactive,472.89,Unique,present,ALPHANUMERIC_IBAN,PROVIDED,PROVIDED
MCH9180,Ramaswamyplc,5699,Apparel,Individual,Pune,Maharashtra,2025-08-08,,Active,1761.26,Found Duplicate,present,MISSING,PROVIDED,PROVIDED
MCH7864,"Joshi, Warrior And Guha",5699,Apparel,Sole Proprietorship,Jalandhar,Punjab,2023-10-18,,Active,785.07,Found Duplicate,present,MISSING,PROVIDED,PROVIDED
MCH6545,Garg Plc,5699,Apparel,Partnership,Ludhiana,Punjab,2024-02-20,,Unknown,1653.52,Found Duplicate,present,MISSING,PROVIDED,PROVIDED
MCH6091,Dutt Nair,5699,Apparel,Private Limited,Kolkata,West Bengal,2023-01-30,9792145375,Active,1466.59,Found Duplicate,present,VALID_NUMERIC,PROVIDED,PROVIDED
MCH5064,Pandey Sangha,5699,Apparel,Sole Proprietorship,Bengaluru,Karnataka,2023-12-31,XXXX3296,Active,2028.77,Found Duplicate,present,MASKED,PROVIDED,PROVIDED
MCH4200,"Sood, Kurian And Raghavan",5699,Apparel,Individual,Jaipur,Rajasthan,2024-08-18,4567697450,Unknown,2010.35,Found Duplicate,present,VALID_NUMERIC,PROVIDED,PROVIDED
MCH5180,Varkey Inc,5699,Apparel,Individual,Lucknow,Uttar Pradesh,2025-09-26,XXXX1928,Active,1047.37,Found Duplicate,present,MASKED,PROVIDED,PROVIDED
MCH5135,Kapoor Ltd,5699,Apparel,Partnership,Chennai,Tamil Nadu,2024-02-25,XXXX2733,Active,1221.22,Found Duplicate,present,MASKED,PROVIDED,PROVIDED
MCH7100,Sanghvi Pandit,5699,Apparel,Individual,Pune,Maharashtra,2024-09-07,,Active,638.61,Unique,present,MISSING,PROVIDED,PROVIDED
MCH5490,"Bahl, Kakar And Dara",5699,Apparel,Individual,Hyderabad,Telangana,2025-12-28,JQDE2976951081698,Active,1917.65,Unique,present,ALPHANUMERIC_IBAN,PROVIDED,PROVIDED
MCH8539,Arya Char,5699,Apparel,Sole Proprietorship,Chennai,Tamil Nadu,2025-10-07,XXXX4751,Active,3012.9,Unique,present,MASKED,PROVIDED,PROVIDED
MCH4804,Swamy Plc,5699,Apparel,Partnership,Lucknow,Uttar Pradesh,2025-01-12,,Suspended,207.24,Unique,present,MISSING,PROVIDED,PROVIDED
MCH4975,Bhakta Sidhu,5699,Apparel,Partnership,Jalandhar,Punjab,2024-09-18,,Active,280.66,Found Duplicate,present,MISSING,PROVIDED,PROVIDED
MCH7746,Luthra Group,5699,Apparel,Private Limited,Jaipur,Rajasthan,2025-10-08,4338266840,Unknown,1244.49,Found Duplicate,present,VALID_NUMERIC,PROVIDED,PROVIDED
MCH3641,"Khurana, Barman And Suresh",5699,Apparel,Individual,Delhi,Delhi,2025-06-08,XXXX0826,Active,2224.44,Unique,present,MASKED,PROVIDED,PROVIDED
MCH8616,Ratti Jha,5699,Apparel,Sole Proprietorship,Pune,Maharashtra,2025-05-30,,Active,1036.37,Unique,present,MISSING,PROVIDED,MISSING_OR_INVALID
MCH2435,"Badal, Chada And Narang",5699,Apparel,Private Limited,Ludhiana,Punjab,,0219895854,Active,2576.23,Found Duplicate,missing,VALID_NUMERIC,PROVIDED,PROVIDED
MCH3796,Swaminathan Ltd,5699,Apparel,Partnership,Pune,Maharashtra,2023-02-04,,Active,1024.22,Found Duplicate,present,MISSING,PROVIDED,PROVIDED
MCH6352,Brar Kale,5699,Apparel,Partnership,Chennai,Tamil Nadu,2023-10-08,,Active,2366.79,Found Duplicate,present,MISSING,PROVIDED,PROVIDED
MCH2137,Saran And Sons,5699,Apparel,Private Limited,Delhi,Delhi,2023-10-11,,Unknown,2376.86,Found Duplicate,present,MISSING,PROVIDED,PROVIDED
MCH2903,Swamy Parsa,5699,Apparel,Individual,Mumbai,Maharashtra,2023-04-14,,Inactive,1218.16,Unique,present,MISSING,PROVIDED,PROVIDED
MCH6943,Vyas Group,5699,Apparel,Individual,Amritsar,Punjab,2023-04-11,KIUE4469872424797,Active,651.75,Unique,present,ALPHANUMERIC_IBAN,PROVIDED,PROVIDED
MCH5745,"Mahal, Gokhale And Shah",5699,Apparel,Sole Proprietorship,Lucknow,Uttar Pradesh,2023-05-04,XXXX1251,Active,0.1104,Found Duplicate,present,MASKED,PROVIDED,PROVIDED
MCH9665,Baria And Sons,5699,Apparel,Sole Proprietorship,Chennai,Tamil Nadu,2023-09-08,VFLG7914496362461,Suspended,4561.8,Unique,present,ALPHANUMERIC_IBAN,PROVIDED,PROVIDED
MCH9377,Chaudhuri Plc,5699,Apparel,Sole Proprietorship,Delhi,Delhi,2023-04-14,6784208248,Unknown,1583.18,Found Duplicate,present,VALID_NUMERIC,PROVIDED,PROVIDED
MCH6944,"Ghosh, Hayre And Seth",5699,Apparel,Individual,Jaipur,Rajasthan,2024-06-29,,Inactive,1036.37,Found Duplicate,present,MISSING,PROVIDED,MISSING_OR_INVALID
MCH7614,Waliltd,5699,Apparel,Individual,Mumbai,Maharashtra,2023-07-03,BEBD9243619313229,Active,0.969,Found Duplicate,present,ALPHANUMERIC_IBAN,PROVIDED,PROVIDED
MCH2757,Chhabra Dugar,5699,Apparel,Sole Proprietorship,Kolkata,West Bengal,2025-11-16,XXXX2280,Unknown,1214.2,Found Duplicate,present,MASKED,PROVIDED,PROVIDED
MCH4788,Chauhan Kh0S1A,5699,Apparel,Individual,Bengaluru,Karnataka,,0651098523,Active,109.29,Unique,missing,VALID_NUMERIC,PROVIDED,PROVIDED
MCH2767,"Munshi, Kohli And Pai",5699,Apparel,Private Limited,Lucknow,Uttar Pradesh,2026-02-28,6694122395,Unknown,1994.09,Found Duplicate,present,VALID_NUMERIC,PROVIDED,PROVIDED
MCH8953,Sibal Group,5699,Apparel,Partnership,Kolkata,West Bengal,2023-02-28,ZSUM7213589595095,Suspended,1723.81,Found Duplicate,present,ALPHANUMERIC_IBAN,PROVIDED,PROVIDED
MCH4289,Singhal Dasgupta,5699,Apparel,Partnership,Bengaluru,Karnataka,2025-02-17,ZEDE0222029565689,Active,809.48,Unique,present,ALPHANUMERIC_IBAN,PROVIDED,PROVIDED
MCH9366,"Parsa, Walia And Viswanathan",5699,Apparel,Individual,Jalandhar,Punjab,2024-11-13,XXXX5233,Active,7891.78,Unique,present,MASKED,PROVIDED,PROVIDED
MCH8098,Mittal Konda,5699,Apparel,Private Limited,Kolkata,West Bengal,,,Active,925.94,Found Duplicate,missing,MISSING,PROVIDED,PROVIDED
MCH4928,"Narang, Bedi And Sachar",5699,Apparel,Private Limited,Jalandhar,Punjab,2025-09-25,,Active,3146.1,Unique,present,MISSING,PROVIDED,PROVIDED
MCH9276,Trivedi Kunda,5699,Apparel,Individual,Delhi,Delhi,2025-12-31,XXXX9182,Active,2310.01,Found Duplicate,present,MASKED,PROVIDED,PROVIDED
MCH7442,"Tand0N, Tak And Mane",5699,Apparel,Partnership,Chennai,Tamil Nadu,2024-09-12,,Active,1620.41,Found Duplicate,present,MISSING,PROVIDED,PROVIDED
MCH6930,Dave And Sons,5699,Apparel,Private Limited,Delhi,Delhi,2025-01-17,3789755588,Active,1036.37,Found Duplicate,present,VALID_NUMERIC,PROVIDED,MISSING_OR_INVALID
MCH8767,Golla Group,5699,Apparel,Sole Proprietorship,Hyderabad,Telangana,2023-11-05,,Active,397.99,Unique,present,MISSING,PROVIDED,PROVIDED
MCH6053,Sehgal Pathak,5699,Apparel,Individual,Mumbai,Maharashtra,2023-02-18,,Active,379.97,Found Duplicate,present,MISSING,PROVIDED,PROVIDED
MCH8263,"Gara, Kar And Raval",5699,Apparel,Sole Proprietorship,Chennai,Tamil Nadu,2025-07-21,XLDI5037601996445,Active,1443.08,Found Duplicate,present,ALPHANUMERIC_IBAN,PROVIDED,PROVIDED
MCH7654,Chakraborty Inc,5699,Apparel,Sole Proprietorship,Lucknow,Uttar Pradesh,,,Active,0.125,Unique,missing,MISSING,PROVIDED,PROVIDED
MCH6501,Ka1A Garg,5699,Apparel,Sole Proprietorship,Ludhiana,Punjab,2023-05-07,5422601773,Active,471.98,Unique,present,VALID_NUMERIC,PROVIDED,PROVIDED
MCH6480,Sundaram And S0Ns,5699,Apparel,Partnership,Mumbai,Maharashtra,2023-11-13,XXXX8936,Unknown,680.72,Unique,present,MASKED,PROVIDED,PROVIDED
