user_id,full_name,pan,aadhaar,date_of_birth,city,state,monthly_income,occupation,signup_timestamp,kyc_status,risk_segment
USR16112,Dhriti Deshmukh,SEJAA8194O,715658320763,06/04/1967 12:14 AM,Bombay,Maharashtra,35119,Retired,2025-12-02 02:18:16,Done,LOW
USR17216,Megha Jani,QT0ZZ5561X,023412025028,,Lucknow,Uttar Pradesh,80907,Freelancer,01-31-2024,Verified,medium
USR 45454,PANINI LAL,QCNTL9489O,2781 6299 9816,,kolkata,West Bengal,"₹11,214",Farmer,2026-01-30 23:57:18,Pending,High
USR46189,Jack Parikh,RRVUI4059Q,0667 8032 7731,,Amritsar,Punjab,27.3k,Student,09-04-2025,VERIFIED,low
USR85256,Eta Ravi,ygvoi9236w,176258817110,1969-02-19 08:25:23,delhi,Delhi,"INR 24,705",Salaried,03-Feb-2026,APPROVED,LOW
USR 20918,Vanya Chad,jdgoh0074y,894463789078,20/04/1961,BLR,Karnataka,14124,Self Employed,25/04/2024,REJECTED,MEDIUM
usr22494,NIRJA SHETTY,JWZVO4240H,5277136337802,05-Sep-1990,Chennai,Tamil Nadu,16160,Retired,,Reject,medium
USR34742,Ati Dash,OOQCG9609N,985048780290,12-20-1962,Jaipur,Rajasthan,43738,Unemployed,07-25-2025,APPROVED,high
USR83137,ria kale,,4902616251043,09-Sep-2005,Jaipur,Rajasthan,25151,Freelancer,03/04/2024,Pending,low
USR99161,jalsa malhotra,QLSKS5105S,944300371193,20/05/1963 05:27 AM,Jalandhar,Punjab,-8083,Retired,,Rejected,Low
USR16625,anika vora,CACWZ 2722 S,0179 7994 0718,,lucknow,Uttar Pradesh,28634,Unemployed,08-Mar-2026,Done,Medium
USR 65060,Anirudh Bhatnagar,AIWTB 3506 U,2501336722102,2003/06/16,JPR,Rajasthan,30875,Student,2024-05-24 07:29:05,VERIFIED,LOW
USR13678,Reva Jaggi,KWLPY9915,577479489696,27/05/1982,jaipur,Rajasthan,24.2k,Gig Worker,16/02/2024,Pending,low
USR78719,IndiraChaudhary,VGLXS2856D,6244-9453-8280,1977-04-17 07:18:29,ludhiana,Punjab,"Rs. 20,231",Student,30-Jan-2024,V,LOW
USR83333,Gautam Bajwa,HLNXD 7947 Q,846950176261,24/08/1969 03:28 AM,HYDERABAD,Telangana,24890,Freelancer,1752135790,REJECTED,LOW
USR53554,Hemani Behl,SIBUO4381D,448832778808,1968-09-20 20:31:53,Dilli,Delhi,"Rs. 26,617",Business Owner,2024-01-03 00:50:12,KYC_DONE,Low
USR 77711,  Warinder Solanki  ,MFDIC1823G,XXXX-XXXX-5406,15-Jul-1987,Pune,Maharashtra,-81093,Gig Worker,2025-04-06 14:45:00,Pending,HIGH
USR69726,Rudra Lal,CXBKD3190N,976073035125,809571887,Calcutta,West Bengal,17.7k,Student,30-Dec-2024,Verified,low
USR 53544,DANIEL GOKHALE,ufleh5366c,,16/07/1998,lucknow,Uttar Pradesh,32124,Self Employed,2025/10/12,V,HIGH
usr57699,Advik Om,MXMQW-7893-W,XXXX-XXXX-1365,26/04/1999,Lucknow,Uttar Pradesh,"Rs. 19,875",Freelancer,04-06-2024,V,LOW
USR53382,Mekhala Golla,BOBCZ3795L,652660807695,06-02-1967,Hyd,Telangana,13098,Retired,2026/01/12,KYC_DONE,LOW
USR 26959,Ganga Pai,JXFNR 4730 M,149449272703,1966/07/04,ASR,Punjab,"₹19,624",Retired,12-Feb-2026,VERIFIED,Unknown
USR13068,Megha Chandra,AVJUN6708Q,2829-0979-8427,10/09/1993 01:31 PM,Kolkata,West Bengal,25378,Self Employed,02-18-2024,Verified,low
USR32767,Sanya Dalal,HBFFH5169P,584280034012,01-18-1964,New Delhi,Delhi,"Rs. 17,051",Gig Worker,11/10/2024,KYC_DONE,High
USR86400,Qadim Nayak,AQHFS2686A,9452 8737 2343,06-09-1978,Hyd,Telangana,"Rs. 19,485",Retired,2026-02-06 04:09:04,VERIFIED,low
USR72012,LIAM VARKEY,cnivl5277x,XXXX-XXXX-0556,25/08/2004,MUMBAI,Maharashtra,-23591,Salaried,2025-09-08 15:25:17,Pending,Low
USR65078,ANAMIKA CHAUDHARY,eykup2541j,871855606283,09/01/1987,JPR,Rajasthan,16714,Freelancer,10/11/2024 04:26 PM,Done,low
