merchant_id,merchant_name,mcc,merchant_category,business_type,city,state,onboarding_date,settlement_account,merchant_status,declared_avg_ticket_size
mch2849,"BHAVSAR, KOTA AND ZACHARIA",MCC-7011,hotel_lodging,Private Limited,Ludhiana,Punjab,09-23-2025,,Inactive,"INR 2,432.18"
MCH4314,Deshmukh Ltd,5699,Apparel,PRIVATE_LIMITED,Jalandhar,Punjab,,3021439858,I,986.05
MCH1986,"Bains, Chanda and Gh0sh",5311,Retail,individual,Jalandhar,Punjab,10/01/2026,NA,A,"INR 1,427.52"
mch3899,  Goswami-Bath  ,4131,Transportation,Sole Proprietor,Hyderabad,Telangana,14-Jan-2023,,ACTIVE,-1271.48
MCH4859,VASA-RAJU,5812,Restaurant,SOLE_PROPRIETOR,Hyd,Telangana,1742180385,XXXX9523,A,Rs. 214
MCH6848,Dora LLC,5311,Department Store,PARTNERSHIP,Chennai,Tamil Nadu,1758406998,DUSD7272281625368,Active,"₹1,272.49"
MCH9933,Bali-Zachariah,5411,Grocery Stores,SOLE_PROPRIETOR,JPR,Rajasthan,07/06/2023,TWPF4694358713410,Live,"Rs. 1,549"
MCH-2637,Joshi Group,5999,Misc Retail,PARTNERSHIP,chennai,Tamil Nadu,20/02/2025,,Enabled,-760.41
MCH8708,"Mukherjee, Sami and Purohit",5999,Retail Other,Sole Proprietor,Hyderabad,Telangana,28-Jan-2026,,SUSPENDED,2919.92
MCH 2430,Bora Group,4814,TELECOM,INDIVIDUAL,Amritsar,Punjab,2026-01-27 15:52:53,2955352677,A,827.43
MCH8556,"Rout, Dhillon and Sinha",5942,Book Store,SOLE_PROPRIETOR,jaipur,Rajasthan,04/05/2023 05:49 PM,,Live,
MCH 9997,"Kalita, Dass and Balay",MCC-5999,misc retail,individual,ludhiana,Punjab,07-12-2023,XXXX2557,Live,2233.91
MCH7003,"Koshy, Samra and Chana",5942,BOOKS_STATIONERY,PRIVATE-LIMITED,Jalandhar,Punjab,2024/06/29,XXXX7569,Hold,776.99
MCH 6945,Barad LLC,5311.0,Retail,partnership,Ludhiana,Punjab,13/09/2025 06:55 AM,NA,Live,3350.77
mch4323,"Ben, Wagle and Shan",5812,eating place,SOLE-PROPRIETOR,Madras,Tamil Nadu,2023-05-11 05:53:16,4367668757,SUSPENDED,
mch1405,Sawhney-Naru1a,5912.0,MEDICAL_STORE,sole_proprietor,lucknow,Uttar Pradesh,2024/12/31,NA,SUSPENDED,3091.86
MCH9459,Bala and Sons,5411,Grocery,PARTNERSHIP,Madras,Tamil Nadu,2023/11/12,,Enabled,558.21
MCH7645,Majumdar-Nagarajan,MCC-5912,MEDICAL_STORE,Sole Proprietor,Amritsar,Punjab,21-Sep-2024,7530870851,Enabled,"₹1,396.81"
mch9620,chad plc,,Retail,INDIVIDUAL,Ludhiana,Punjab,04-16-2025,HEOY8360949899311,ACTIVE,INR 786.55
MCH9815,"NARASIMHAN, VASA AND GOSWAMI",5942,Book Store,INDIVIDUAL,DELHI,Delhi,10/11/2025 04:53 AM,MZNM1643262942719,Active,-528.91
MCH5251,"Rana, Chandra and Tank",4131,Transportation,Partnership,mumbai,Maharashtra,,NA,I,"INR 3,641.26"
mch2934,Warri0r-Siba1,5999.0,Other,INDIVIDUAL,amritsar,Punjab,07-Apr-2025,,Live,
MCH3140,"Zachariah,RajagopalandSamra",4814,TELECOM,private_limited,amritsar,Punjab,2023-09-04 17:37:45,NA,ACTIVE,363.21
MCH2833,Kapoor-Shankar,7011,HOTEL_LODGING,SOLE_PROPRIETOR,Jalandar,Punjab,,VEQH1532066637768,Live,₹474.69
mch2849,"BHAVSAR, KOTA AND ZACHARIA",MCC-7011,HOTEL_LODGING,Private Limited,Ludhiana,Punjab,09-23-2025,,A,"INR 2,432.18"
MCH6397,"SURI, AGRAWAL AND NATARAJAN",5942,Books,PARTNERSHIP,Delhi,Delhi,19/08/2024,,ACTIVE,Rs. 547
MCH 2749,issac and sons,MCC-5912,MEDICAL_STORE,sole_proprietor,Mumbai,Maharashtra,03-09-2025,1616970087,Live,
MCH5089,Korpal-Parmer,05311,Retail,Private Limited,Jaipur,Rajasthan,2024/06/14,NA,A,"Rs. 3,730"
MCH5112,nigam-chawla,4131,Transportation,Private Limited,Chennai,Tamil Nadu,06/09/2025,,Disabled,INR 353.30
mch9951,Natt Group,5912,Pharmacies,partnership,Madras,Tamil Nadu,05-Feb-2024,TSMH8783182679043,Enabled,1765.37
